roll_gyro, roll_acc, roll_filtered
396.667664,105.873509,107.106842
398.383179,108.010272,108.453124
398.973785,108.628083,108.687340
377.482819,81.501428,85.138479
368.798920,79.451737,79.951963
352.163544,66.709926,66.606472
349.763336,55.522422,62.530833
339.634918,42.514335,42.808690
337.615814,37.900996,39.106106
336.658783,32.347005,34.255733
336.756592,36.209362,36.836786
336.316925,30.463934,34.869203
320.148285,28.565886,22.347409
308.775665,20.277758,15.739479
274.077606,-12.194560,-10.251241
261.792358,-11.883694,-12.255039
249.182739,-24.235515,-25.876538
236.534653,-39.972576,-41.642410
217.127472,-53.596402,-55.793512
216.447205,-58.726192,-53.412403
225.133530,-46.107793,-46.129009
253.793869,-43.974873,-26.941441
285.299957,-8.312836,-5.388908
285.903198,-10.496366,-8.580409
291.771271,-7.125226,-5.827980
294.078888,-5.955838,-5.702390
295.201752,-5.059588,-4.673332
295.708862,-4.334958,-5.058952
295.843872,-4.498696,-4.704061
295.940369,-4.892104,-4.758867
295.461670,-4.372811,-5.244000
295.212524,-5.056275,-5.112591
295.079895,-4.929442,-5.294587
295.548584,-5.167774,-4.913260
295.875488,-4.714458,-4.771653
295.887756,-4.749835,-4.802617
295.635742,-4.947745,-4.804473
295.419800,-5.480400,-5.085526
295.006927,-5.125641,-5.298724
294.798492,-5.145014,-5.412911
294.041321,-6.138347,-6.082507
293.547211,-5.960247,-6.332759
292.709625,-7.135736,-6.730635
292.043091,-7.004423,-7.232776
292.039581,-7.024537,-7.020358
290.822510,-7.958207,-8.037482
289.045776,-9.174573,-9.054582
